200|||18745|https://www.sparebank1.no/nb/bank/om-oss/nyheter/forsikring-De-faerreste-av-oss-planlegger-utenlandsferie-i-sommer.html|De færreste av oss planlegger utenlandsferie i sommer | SpareBank 1 
200|||18679|https://www.sparebank1.no/nb/bank/om-oss/nyheter/forsikring-ladeangst-slik-unngaar-du-at-bilen-gaar-tom-for-batteri.html|Ladeangst? Slik unngår du at bilen går tom for batteri | SpareBank 1 
200|||18576|https://www.sparebank1.no/nb/bank/om-oss/nyheter/felles-forsikringer-samlivsbrudd.html|Hva skjer med felles forsikringer i samlivsbrudd? | SpareBank 1 
200|||18660|https://www.sparebank1.no/nb/bank/om-oss/nyheter/fjerne-traer-eiendom-klar-over-dette.html|Skal du fjerne trær på eiendommen din? Dette må du være klar over. | SpareBank 1 
200|||18480|https://www.sparebank1.no/nb/bank/om-oss/nyheter/forsikring-kom-i-gang-med-klimatilpasning-i-bedriften.html|Slik kommer du i gang med klimatilpasning i bedriften | SpareBank 1 
200|||18786|https://www.sparebank1.no/nb/bank/om-oss/nyheter/forsikring-slik-blir-du-trygg-grillmester.html|Slik blir du en trygg grillmester   | SpareBank 1 
200|||18659|https://www.sparebank1.no/nb/bank/om-oss/nyheter/forsikring-spare-strom-pa-hytta-les-disse-radene-forst.html|Spare strøm på hytta? Les disse rådene først | SpareBank 1 
200|||18221|https://www.sparebank1.no/nb/bank/om-oss/nyheter/forsinket-fly-bare-senk-skuldrene.html|Forsinket fly? Bare senk skuldrene | SpareBank 1 
200|||18131|https://www.sparebank1.no/nb/bank/om-oss/nyheter/forsikringene-du-trenger-som-ung.html|Forsikringene du trenger som ung | SpareBank 1 
200|||18138|https://www.sparebank1.no/nb/bank/om-oss/nyheter/fremtind-kundefavoritt-forsikring.html|Fremtind kåret til kundefavoritt | SpareBank 1 
200|||18188|https://www.sparebank1.no/nb/bank/om-oss/nyheter/hvorfor-er-det-viktig-aa-forsikre-husdyrene-dine.html|Hvorfor er det viktig å forsikre husdyrene dine?  | SpareBank 1 
200|||18564|https://www.sparebank1.no/nb/bank/om-oss/nyheter/gode-raad-til-deg-som-skal-ovelseskjore-med-ungdommen-i-sommer.html|Gode råd til deg som skal øvelseskjøre med ungdommen | SpareBank 1 
200|||18579|https://www.sparebank1.no/nb/bank/om-oss/nyheter/ikke-bestill-neste-ars-sommerferie-enna.html|Ikke bestill neste års sommerferie ennå | SpareBank 1 
200|||18822|https://www.sparebank1.no/nb/bank/om-oss/nyheter/i-dag-kommer-tordenvaeret---slik-sikrer-du-deg-mot-lynnedslag0.html|I dag kommer tordenværet – slik sikrer du deg mot lynnedslag | SpareBank 1 
200|||18376|https://www.sparebank1.no/nb/bank/om-oss/nyheter/na-blir-det-lettere-a-overta-jobben-min.html|Regnskap |  Enklere å være kasserer i roklubben | SpareBank 1 
200|||18036|https://www.sparebank1.no/nb/bank/om-oss/nyheter/mus-og-gnagere-kan-skade-bilen-din.html|Mus og gnagere kan gjøre stor skade på bilen din | SpareBank 1 
200|||18257|https://www.sparebank1.no/nb/bank/om-oss/nyheter/leie-ut-hytta.html|Hytteforsikring |  Dette bør du tenke på hvis du skal leie ut | SpareBank 1 
200|||18476|https://www.sparebank1.no/nb/bank/om-oss/nyheter/nar-overfores-penger-mellom-kontoer-.html|Når overføres penger mellom kontoer? | SpareBank 1 
200|||18703|https://www.sparebank1.no/nb/bank/om-oss/nyheter/nye-pakker-fra-regjeringen-i-dag-.html|Nye pakker fra regjeringen i dag  | SpareBank 1 
200|||18943|https://www.sparebank1.no/nb/bank/om-oss/nyheter/regjeringens-kontantstotte--disse-bedriftene-kan-soke.html|Kontantstøtte for bedrifter | SpareBank 1 
200|||18301|https://www.sparebank1.no/nb/bank/om-oss/nyheter/sell-in-may-and-go-away--.html|Sell in May and go away?  | SpareBank 1 
200|||18847|https://www.sparebank1.no/nb/bank/om-oss/nyheter/skal-du-til-utlandet-i-hostferien--dette-gjelder-.html|Skal du til utlandet i høstferien? Dette gjelder! | SpareBank 1 
200|||18430|https://www.sparebank1.no/nb/bank/om-oss/nyheter/skattemeldingen--spar-skatt-og-fa-bedre-oversikt.html|Skattemeldingen: Spar skatt og få bedre oversikt | SpareBank 1 
200|||18556|https://www.sparebank1.no/nb/bank/om-oss/nyheter/slik-unngar-du-at-brann-odelegger-julekosen.html|Slik unngår du at brann ødelegger julekosen | SpareBank 1 
200|||18580|https://www.sparebank1.no/nb/bank/om-oss/nyheter/slik-fungerer-forsikring-under-arrangerte-lop.html|Slik fungerer forsikring under arrangerte løp  | SpareBank 1 
200|||18467|https://www.sparebank1.no/nb/bank/om-oss/nyheter/slik-gjor-du-veiene-tryggere-i-sommer.html|Slik gjør du veiene tryggere i sommer | SpareBank 1 
200|||18575|https://www.sparebank1.no/nb/bank/om-oss/nyheter/slik-unngar-du-lokketilbud-under-black-week.html|Slik unngår du lokketilbud under Black Week | SpareBank 1 
200|||17725|https://www.sparebank1.no/nb/bank/om-oss/nyheter/sparebank1-makrooppdatering--enorme-krisepakker--helikopterpenge.html|SpareBank1 makrooppdatering: Enorme krisepakker, helikopterpenger &amp; felles obligasjoner i Europa | SpareBank 1 
200|||17905|https://www.sparebank1.no/nb/bank/om-oss/nyheter/slik-unngikk-lukas-den-nye-instagram-svindelen-.html|Svindel på nett: Slik unngikk Lukas den nye Instagram-svindelen  | SpareBank 1 
200|||18221|https://www.sparebank1.no/nb/bank/om-oss/nyheter/svindel-unnga-aa-bli-lurt.html|Svindel | Slik unngår du å bli lurt  | SpareBank 1 
200|||18357|https://www.sparebank1.no/nb/bank/om-oss/nyheter/trenger-jeg-mer-enn-ett-fond.html|Trenger jeg mer enn ett fond? | SpareBank 1 
200|||18391|https://www.sparebank1.no/nb/bank/om-oss/nyheter/tusenvis-a-spare-pa-a-velge-riktig-bilforsikring.html|Tusenvis å spare på å velge riktig bilforsikring | SpareBank 1 
200|||18626|https://www.sparebank1.no/nb/bank/om-oss/nyheter/verdens-viktigste-rente.html|Ekspert: – Rentemarkedet klarer å spå kriser gang på gang   | SpareBank 1 
200|||18579|https://www.sparebank1.no/nb/bank/om-oss/nyheter/verkstedpraksis-gir-dyrere-bilforsikring-og-okte-utslipp.html|Verkstedpraksis gir dyrere bilforsikring og økte utslipp | SpareBank 1 
200|||17794|https://www.sparebank1.no/nb/bank/om-oss/rekke-opp-handa.html|Rekke opp hånda | SpareBank 1 
200|Om oss||63079|https://www.sparebank1.no/nb/bank/om-oss/presse.html|Presse | SpareBank 1 
200|Om oss||378112|https://www.sparebank1.no/nb/bank/om-oss/personvern.html|Personvern | SpareBank 1 
200|Om oss||179755|https://www.sparebank1.no/nb/bank/om-oss/samfunnsansvar.html|Samfunnsansvar | SpareBank 1 
200|Produkt||68813|https://www.sparebank1.no/nb/bank/om-oss/selskaper/sparebank-1-forsikring/baerekraft/lov-om-baerekraft.html|Lov om bærekraft | SpareBank 1 
200|Marked||279793|https://www.sparebank1.no/nb/bank/privat.html|Privat | SpareBank 1 
200|Produkt||263565|https://www.sparebank1.no/nb/bank/om-oss/vare-eksperter.html|Våre eksperter | Få råd om økonomi, sparing og pensjon | SpareBank 1 
200|Om oss||61036|https://www.sparebank1.no/nb/bank/om-oss/selskaper/sparebank-1-portefolje/slik-ivaretar-vi-ditt-personvern-og-var-taushetsplikt.html|Slik ivaretar vi ditt personvern og vår taushetsplikt | SpareBank 1 
